,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arraial do Cabo,40,BR,1601414055,88,-22.97,-42.03,77.0,8.05
1,Medak,100,IN,1601414056,76,18.03,78.27,75.0,4.92
2,Qingdao,0,CN,1601414056,76,36.1,120.37,61.0,8.95
3,Iquitos,90,PE,1601414056,94,-3.75,-73.25,73.4,9.17
4,Katsuura,96,JP,1601414056,72,35.13,140.3,64.4,14.99
5,Ancud,100,CL,1601414057,96,-41.87,-73.82,36.0,1.99
6,Hurghada,0,EG,1601414057,55,27.26,33.81,86.0,5.82
7,Muborak,70,UZ,1601414057,45,39.26,65.15,52.11,11.41
8,Coahuayana Viejo,75,MX,1601414058,78,18.73,-103.68,80.6,17.22
9,Ushuaia,40,AR,1601414058,60,-54.8,-68.3,41.0,23.04
10,Sabang,100,ID,1601414059,76,5.89,95.32,81.63,4.88
11,Cape Town,0,ZA,1601413769,66,-33.93,18.42,57.0,13.87
12,George Town,20,MY,1601413886,94,5.41,100.34,78.8,4.7
13,Vaini,75,TO,1601414059,88,-21.2,-175.2,78.8,9.17
14,Camacha,40,PT,1601414060,68,33.08,-16.33,69.8,9.17
15,Albany,90,US,1601413946,77,42.6,-73.97,63.0,10.29
16,Port Alfred,49,ZA,1601414060,69,-33.59,26.89,57.22,4.54
17,Kidal,57,ML,1601414061,11,18.44,1.41,95.59,8.48
18,Saint-Philippe,75,RE,1601414006,77,-21.36,55.77,69.8,3.36
19,Calabozo,71,VE,1601414061,85,8.92,-67.43,83.75,4.94
20,Saldanha,0,ZA,1601414061,76,-33.01,17.94,51.8,6.93
21,Flin Flon,75,CA,1601414062,38,54.77,-101.86,60.8,11.41
22,Nishihara,40,JP,1601414062,74,26.18,127.76,78.8,14.99
23,San Miguel de Cozumel,40,MX,1601414062,70,20.51,-86.95,89.6,4.7
24,Sibu,20,MY,1601414063,100,2.3,111.82,75.2,3.36
25,Ribeira Grande,20,PT,1601414063,68,38.52,-28.7,66.2,12.75
26,Peniche,100,PT,1601414063,87,39.36,-9.38,63.0,5.01
27,Kyra,94,RU,1601414064,84,49.58,111.98,34.79,2.06
28,Hong Kong,22,HK,1601413926,86,22.29,114.16,82.0,9.62
29,Hasaki,20,JP,1601414065,82,35.73,140.83,60.8,10.29
30,Mar del Plata,0,AR,1601413765,40,-38.0,-57.56,71.6,13.87
31,Frutal,2,BR,1601414065,17,-20.02,-48.94,95.02,7.96
32,Beloha,16,MG,1601414065,95,-25.17,45.05,66.54,3.69
33,Port Blair,95,IN,1601414066,81,11.67,92.75,80.92,17.31
34,Airai,100,TL,1601414066,75,-8.93,125.41,58.78,3.09
35,Lake City,90,US,1601414066,94,30.19,-82.64,73.99,11.41
36,Narsaq,0,GL,1601414067,82,60.92,-46.05,32.0,1.12
37,Faanui,5,PF,1601414067,79,-16.48,-151.75,78.67,23.15
38,Muyezerskiy,81,RU,1601414067,95,63.93,31.65,46.04,4.43
39,Kamina,99,CD,1601414068,86,-8.74,24.99,67.32,6.33
40,Hirado,42,JP,1601414068,71,33.36,129.55,64.0,10.8
41,Malanje,99,AO,1601414068,80,-9.54,16.34,69.4,2.01
42,Cidreira,63,BR,1601413870,83,-30.18,-50.21,62.71,19.46
43,Hithadhoo,66,MV,1601414053,74,-0.6,73.08,83.07,10.56
44,Antalya Province,20,TR,1601414069,65,36.77,30.72,77.0,4.7
45,Hilo,1,US,1601414069,66,19.73,-155.09,84.2,12.75
46,Vardø,40,NO,1601414070,93,70.37,31.11,50.0,18.34
47,Tuatapere,98,NZ,1601414070,88,-46.13,167.68,45.0,5.01
48,Mataura,100,NZ,1601414070,88,-46.19,168.86,45.0,5.01
49,Provideniya,90,RU,1601414071,74,64.38,-173.3,41.0,6.71
50,Malakal,100,SS,1601414071,90,9.53,31.66,71.47,5.19
51,Kapaa,1,US,1601413774,69,22.08,-159.32,84.0,4.7
52,Hambantota,100,LK,1601414071,77,6.12,81.12,80.22,18.81
53,Karwar,83,IN,1601414072,86,14.8,74.13,76.93,3.91
54,San Cristobal,40,VE,1601413913,38,7.77,-72.22,91.4,16.11
55,Porto-Novo,40,BJ,1601414072,83,6.5,2.6,80.6,14.99
