,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gīdam,19,IN,1602134856,64,18.98,81.4,88.65,2.04
1,Arrondissement de Mayenne,90,FR,1602134856,93,48.33,-0.67,59.0,9.17
2,Souillac,40,MU,1602134512,74,-20.52,57.52,78.8,18.34
3,Acaraú,69,BR,1602134856,88,-2.89,-40.12,75.96,11.45
4,Ushuaia,75,AR,1602134423,89,-54.8,-68.3,39.2,4.85
5,Sarangani,100,PH,1602134857,72,5.4,125.46,83.88,8.1
6,Nanyang,80,CN,1602134857,51,32.99,112.53,69.12,8.61
7,Husavik,90,IS,1602134707,100,66.04,-17.34,35.6,4.7
8,Rikitea,100,PF,1602134423,82,-23.12,-134.97,73.29,14.74
9,Emerald,0,AU,1602134857,27,-23.53,148.17,89.6,9.17
10,Hong Kong,4,HK,1602134318,62,22.29,114.16,81.0,3.0
11,Praia,75,CV,1602134285,83,14.92,-23.51,78.8,10.29
12,Jamestown,1,US,1602134426,75,42.1,-79.24,48.99,8.05
13,Yellowknife,90,CA,1602134438,100,62.46,-114.35,37.4,4.7
14,Bluff,31,NZ,1602134430,62,-46.6,168.33,48.99,8.99
15,Celestún,100,MX,1602134278,85,20.87,-90.4,80.62,20.78
16,Lavrentiya,100,RU,1602134738,94,65.58,-171.0,40.5,28.86
17,Prince Rupert,1,CA,1602134802,93,54.32,-130.32,42.8,1.05
18,Bengkulu,100,ID,1602134318,92,-3.8,102.27,76.17,20.87
19,Mataura,37,NZ,1602134433,62,-46.19,168.86,48.99,8.99
20,Qaanaaq,0,GL,1602134423,76,77.48,-69.36,11.8,5.32
21,Neturhāt,16,IN,1602134860,78,23.48,84.27,78.57,3.42
22,Avarua,69,CK,1602134180,78,-21.21,-159.78,75.2,16.11
23,Turukhansk,91,RU,1602134860,94,65.82,87.98,22.98,4.43
24,Vao,53,NC,1602134861,82,-22.67,167.48,71.29,20.22
25,Lüderitz,1,NA,1602134674,84,-26.65,15.16,57.18,14.88
26,Vaini,75,TO,1602134444,88,-21.2,-175.2,77.0,9.17
27,Ilulissat,9,GL,1602134225,62,69.22,-51.1,24.8,3.36
28,Pravia,90,ES,1602134861,87,43.49,-6.15,60.8,3.04
29,Pisco,17,PE,1602134404,82,-13.7,-76.22,62.01,5.82
30,Nicoya,100,CR,1602134862,91,10.15,-85.45,73.54,1.3
31,Saldanha,1,ZA,1602134504,81,-33.01,17.94,50.0,4.7
32,Abhā,0,SA,1602134863,22,18.22,42.51,69.8,5.82
33,Xining,2,CN,1602134504,40,36.62,101.77,58.77,4.9
34,Barrow,90,US,1602134438,86,71.29,-156.79,30.2,20.8
35,Okhotsk,0,RU,1602134689,49,59.38,143.3,49.68,9.98
36,Saint Paul Harbor,90,US,1602134191,87,57.79,-152.41,48.2,12.75
37,Hobart,75,AU,1602134156,87,-42.88,147.33,55.4,6.93
38,Tutóia,100,BR,1602134864,80,-2.76,-42.27,79.02,13.24
39,Bambous Virieux,40,MU,1602134431,74,-20.34,57.76,78.8,18.34
40,Altay,81,CN,1602134864,66,47.87,88.12,37.56,3.49
41,Bredasdorp,45,ZA,1602134433,93,-34.53,20.04,57.2,4.7
42,Bang Saphan,90,TH,1602134865,94,11.21,99.51,78.8,4.7
43,Chokurdakh,27,RU,1602134442,92,70.63,147.92,27.19,8.84
44,Laguna,1,US,1602134782,67,38.42,-121.42,63.0,5.88
45,Aklavik,90,CA,1602134163,93,68.22,-135.01,33.8,6.93
46,Albany,40,US,1602134447,54,42.6,-73.97,55.0,13.87
47,Cayenne,90,GF,1602134866,100,4.93,-52.33,75.2,7.07
48,Rybachiy,0,RU,1602134866,44,48.71,44.74,48.2,11.18
49,Quimper,90,FR,1602134866,100,48.0,-4.1,59.0,14.99
50,Severo-Kuril'sk,51,RU,1602134449,71,50.68,156.12,47.61,23.02
51,Colotlán,0,MX,1602134867,36,22.1,-103.27,60.28,6.31
52,Saint-Philippe,39,RE,1602134493,74,-21.36,55.77,79.0,5.82
53,Vila Velha,35,BR,1602134699,88,-20.33,-40.29,78.01,4.7
54,Salalah,75,OM,1602134673,69,17.02,54.09,80.6,3.36
55,Caravelas,9,BR,1602134825,89,-17.71,-39.25,73.76,8.12
56,Buala,97,SB,1602134868,70,-8.14,159.59,84.38,5.53
57,Mandalgovi,0,MN,1602134868,45,45.76,106.27,49.75,18.61
58,Port Alfred,39,ZA,1602134436,85,-33.59,26.89,66.7,11.43
59,Babīna,4,IN,1602134868,29,25.25,78.47,87.93,1.63
